SR_PCODE,TS_PCODE,region,township,hospital_name,level,bed,lat,long,coordinates
MMR001,MMR001011,ကချင်ပြည်နယ်,ရွှေကူ,ရွှေကူမြို့နယ်ဆေးရုံ,မြို့နယ်,50,24.22616,96.79039,"96.79039,24.22616,0"
MMR001,MMR001011,ကချင်ပြည်နယ်,ရွှေကူ,ဘိုကုန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.34112,96.64153,"96.64153,24.34112,0"
MMR001,MMR001011,ကချင်ပြည်နယ်,ရွှေကူ,မြို့လှတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.47781,96.60873,"96.60873,24.47781,0"
MMR001,MMR001011,ကချင်ပြည်နယ်,ရွှေကူ,မြို့ကုန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.27388,96.91307,"96.91307,24.27388,0"
MMR001,MMR001011,ကချင်ပြည်နယ်,ရွှေကူ,စီသာတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.13097,96.74713,"96.74713,24.13097,0"
MMR001,MMR001012,ကချင်ပြည်နယ်,မိုးမောက်,မိုးမောက်မြို့နယ်ဆေးရုံ,မြို့နယ်,25,24.25114,97.34771,"97.34771,24.25114,0"
MMR001,MMR001012,ကချင်ပြည်နယ်,မိုးမောက်,မြို့သစ်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.39913,97.42313,"97.42313,24.39913,0"
MMR001,MMR001012,ကချင်ပြည်နယ်,မိုးမောက်,စိန်လုံတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.24007,97.5197,"97.5197,24.24007,0"
MMR001,MMR001012,ကချင်ပြည်နယ်,မိုးမောက်,လွယ်ဂျယ်ဆေးရုံ,တိုက်နယ်,25,24.19757,97.72354,"97.72354,24.19757,0"
MMR001,MMR001012,ကချင်ပြည်နယ်,မိုးမောက်,ဒေါ့ဖုန်းယန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.61155,97.46808,"97.46808,24.61155,0"
MMR001,MMR001013,ကချင်ပြည်နယ်,မံစီ,မံစီမြို့နယ်ဆေးရုံ,မြို့နယ်,25,24.11097,97.30037,"97.30037,24.11097,0"
MMR001,MMR001014,ကချင်ပြည်နယ်,ပူတာအို,ပူတာအိုပြည်သူ့ဆေးရုံ,မြို့နယ်,100,27.3473,97.40721,"97.40721,27.3473,0"
MMR001,MMR001014,ကချင်ပြည်နယ်,ပူတာအို,မူလာရှီဒီတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,27.25588,97.44087,"97.44087,27.25588,0"
MMR001,MMR001014,ကချင်ပြည်နယ်,ပူတာအို,လုံရှာယန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,27.16399,97.55132,"97.55132,27.16399,0"
MMR001,MMR001014,ကချင်ပြည်နယ်,ပူတာအို,မန်စေတိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,27.41216,97.35022,"97.35022,27.41216,0"
MMR001,MMR001015,ကချင်ပြည်နယ်,ဆွမ်ပရာဘွမ်,ဆွမ်ပရာဘွမ်မြို့နယ်ဆေးရုံ,မြို့နယ်,50,26.54763,97.57079,"97.57079,26.54763,0"
MMR001,MMR001016,ကချင်ပြည်နယ်,မချမ်းဘော,မချမ်းဘောမြို့နယ်ဆေးရုံ,မြို့နယ်,25,27.27631,97.59137,"97.59137,27.27631,0"
MMR001,MMR001016,ကချင်ပြည်နယ်,မချမ်းဘော,ထရန်ဒမ်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,27.62269,97.50311,"97.50311,27.62269,0"
MMR001,MMR001017,ကချင်ပြည်နယ်,နောင်မွန်,နောင်မွန်းမြို့နယ်ဆေးရုံ,မြို့နယ်,25,27.50388,97.82872,"97.82872,27.50388,0"
MMR001,MMR001017,ကချင်ပြည်နယ်,နောင်မွန်,ပန်နန်းဒင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,27.72214,97.89272,"97.89272,27.72214,0"
MMR001,MMR001018,ကချင်ပြည်နယ်,ခေါင်လန်ဖူး,ခေါင်လန်ဖူးမြို့နယ်ဆေးရုံ,မြို့နယ်,25,27.05646,98.3679,"98.3679,27.05646,0"
MMR002,MMR002001,ကယားပြည်နယ်,လွိုင်ကော်,လွိုင်ကော်ပြည်သူ့ဆေးရုံကြီး,NA,500,19.67999,97.21988,"97.21988,19.67999,0"
MMR002,MMR002001,ကယားပြည်နယ်,လွိုင်ကော်,လွိုင်လင်လေးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,19.86986,97.22067,"97.22067,19.86986,0"
MMR002,MMR002001,ကယားပြည်နယ်,လွိုင်ကော်,​လောဓလေးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,19.5461,97.3307,"97.3307,19.5461,0"
MMR002,MMR002002,ကယားပြည်နယ်,ဒီးမော့ဆို,ဒီမောဆိုးမြို့နယ်ဆေးရုံ,မြို့နယ်,25,19.55063,97.1595,"97.1595,19.55063,0"
MMR002,MMR002002,ကယားပြည်နယ်,ဒီးမော့ဆို,​ဒေါတမကြီးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,19.32257,97.35898,"97.35898,19.32257,0"
MMR002,NA,ကယားပြည်နယ်,NA,နန့်မယ်ခုံတိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,19.66816,97.11611,"97.11611,19.66816,0"
MMR002,MMR002002,ကယားပြည်နယ်,ဒီးမော့ဆို,လိုဘားခိုတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,19.53181,96.93848,"96.93848,19.53181,0"
MMR002,MMR002003,ကယားပြည်နယ်,ဖရူဆို,ဖရူဆိုမြို့နယ်ဆေးရုံ,မြို့နယ်,25,19.40799,97.11578,"97.11578,19.40799,0"
MMR002,MMR002003,ကယားပြည်နယ်,ဖရူဆို,ဟိုယာတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,19.32528,96.95258,"96.95258,19.32528,0"
MMR002,MMR002004,ကယားပြည်နယ်,ရှားတော,ရှားတောမြို့နယ်ဆေးရုံ,မြို့နယ်,25,19.62945,97.52279,"97.52279,19.62945,0"
MMR002,MMR002004,ကယားပြည်နယ်,ရှားတော,သရီးဒါးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,19.76337,97.50704,"97.50704,19.76337,0"
MMR002,MMR002005,ကယားပြည်နယ်,ဘောလခဲ,ဘောလခဲပြည်သူ့ဆေးရုံ,မြို့နယ်,50,19.16912,97.34234,"97.34234,19.16912,0"
MMR002,NA,ကယားပြည်နယ်,NA,ရွာသစ်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,19.1627,97.50547,"97.50547,19.1627,0"
MMR002,MMR002006,ကယားပြည်နယ်,ဖားဆောင်း,ဖားဆောင်းမြို့နယ်ဆေးရုံ,မြို့နယ်,41,18.87202,97.31662,"97.31662,18.87202,0"
MMR002,NA,ကယားပြည်နယ်,NA,​မော်ချီးအောက်ရွာတိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,18.82267,97.1614,"97.1614,18.82267,0"
MMR002,MMR002007,ကယားပြည်နယ်,မယ်စဲ့,မယ်စဲ့မြို့နယ်ဆေးရုံ,မြို့နယ်,25,18.645,97.654,"97.654,18.645,0"
MMR002,MMR002007,ကယားပြည်နယ်,မယ်စဲ့,ပန်တိန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,18.653,97.559,"97.559,18.653,0"
MMR003,MMR003001,ကရင်ပြည်နယ်,ဘားအံ,ဘားအံပြည်သူ့ဆေးရုံကြီး,မြို့နယ်,200,16.88298,97.63647,"97.63647,16.88298,0"
MMR003,MMR003001,ကရင်ပြည်နယ်,ဘားအံ,မြိုင်ကလေးဆေးရုံ,တိုက်နယ်,25,16.88389,97.5882,"97.5882,16.88389,0"
MMR003,MMR003001,ကရင်ပြည်နယ်,ဘားအံ,အိန္ဒုတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.76345,97.75261,"97.75261,16.76345,0"
MMR003,MMR003001,ကရင်ပြည်နယ်,ဘားအံ,ဇာသပြင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.56633,97.74192,"97.74192,16.56633,0"
MMR003,MMR003001,ကရင်ပြည်နယ်,ဘားအံ,ထုံးအိုင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.71726,97.5975,"97.5975,16.71726,0"
MMR003,MMR003001,ကရင်ပြည်နယ်,ဘားအံ,တရုတ်လှတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.83007,97.61545,"97.61545,16.83007,0"
MMR003,NA,ကရင်ပြည်နယ်,NA,ဖလံတောင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,17.23714,97.54353,"97.54353,17.23714,0"
MMR003,MMR003002,ကရင်ပြည်နယ်,လှိုင်းဘွဲ့,လှိုင်းဘွဲ့မြို့နယ်ဆေးရုံ,မြို့နယ်,50,17.11999,97.81791,"97.81791,17.11999,0"
MMR003,MMR003002,ကရင်ပြည်နယ်,လှိုင်းဘွဲ့,မြိုင်ကြီးငူဆေးရုံ,တိုက်နယ်,25,17.35865,97.66902,"97.66902,17.35865,0"
MMR003,MMR003002,ကရင်ပြည်နယ်,လှိုင်းဘွဲ့,​ရွှေဂွန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,17.1749,97.65003,"97.65003,17.1749,0"
MMR003,MMR003002,ကရင်ပြည်နယ်,လှိုင်းဘွဲ့,ပိုင်ကျုံတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,17.02423,97.98459,"97.98459,17.02423,0"
MMR003,MMR003002,ကရင်ပြည်နယ်,လှိုင်းဘွဲ့,ရှမ်းရွာသစ်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,17.42677,97.8902,"97.8902,17.42677,0"
MMR003,MMR003002,ကရင်ပြည်နယ်,လှိုင်းဘွဲ့,တာလယ်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,17.16448,98.18258,"98.18258,17.16448,0"
MMR003,MMR003003,ကရင်ပြည်နယ်,ဖာပွန်,ဖာပွန်မြို့နယ်ဆေးရုံ,မြို့နယ်,100,18.05214,97.43925,"97.43925,18.05214,0"
MMR003,MMR003003,ကရင်ပြည်နယ်,ဖာပွန်,ကမမောင်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25,17.34271,97.65344,"97.65344,17.34271,0"
MMR003,MMR003003,ကရင်ပြည်နယ်,ဖာပွန်,ကတိုင်တိတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,17.62658,97.53453,"97.53453,17.62658,0"
MMR003,MMR003004,ကရင်ပြည်နယ်,သံတောင်ကြီး,သံတောင်ကြီးမြို့နယ်ဆေးရုံ,မြို့နယ်,25,19.06874,96.67368,"96.67368,19.06874,0"
MMR003,MMR003004,ကရင်ပြည်နယ်,သံတောင်ကြီး,​ဘောဂလိတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,18.8926,96.77832,"96.77832,18.8926,0"
MMR003,MMR003004,ကရင်ပြည်နယ်,သံတောင်ကြီး,လိပ်သိုတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,19.22344,96.58169,"96.58169,19.22344,0"
MMR003,MMR003004,ကရင်ပြည်နယ်,သံတောင်ကြီး,သံတောင်ဆေးရုံ,တိုက်နယ်,25,19.06234,96.68051,"96.68051,19.06234,0"
MMR003,MMR003005,ကရင်ပြည်နယ်,မြဝတီ,မြဝတီပြည်သူ့ဆေးရုံ,မြို့နယ်,100,16.68566,98.50547,"98.50547,16.68566,0"
MMR003,MMR003005,ကရင်ပြည်နယ်,မြဝတီ,သင်္ဃန်းညီနောင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.69496,98.39164,"98.39164,16.69496,0"
MMR003,MMR003005,ကရင်ပြည်နယ်,မြဝတီ,စုကလိတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.15345,98.60178,"98.60178,16.15345,0"
MMR003,MMR003005,ကရင်ပြည်နယ်,မြဝတီ,ဝေါလေမြိုင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.29424,98.74875,"98.74875,16.29424,0"
MMR003,MMR003005,ကရင်ပြည်နယ်,မြဝတီ,ဆုံဆည်းမြိုင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.32881,98.66918,"98.66918,16.32881,0"
MMR003,MMR003006,ကရင်ပြည်နယ်,ကော့ကရိတ်,ကော့ကရိတ်ပြည်သူ့ဆေးရုံ,မြို့နယ်,100,16.55836,98.24461,"98.24461,16.55836,0"
MMR003,MMR003006,ကရင်ပြည်နယ်,ကော့ကရိတ်,ကော့ဘိန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.54861,97.85643,"97.85643,16.54861,0"
MMR003,MMR003006,ကရင်ပြည်နယ်,ကော့ကရိတ်,ကျုံဒိုးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25,16.59527,98.04073,"98.04073,16.59527,0"
MMR003,MMR003006,ကရင်ပြည်နယ်,ကော့ကရိတ်,နဘူးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.72291,98.13017,"98.13017,16.72291,0"
MMR003,MMR003006,ကရင်ပြည်နယ်,ကော့ကရိတ်,တောင်ကြာအင်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.4915,98.15806,"98.15806,16.4915,0"
MMR003,MMR003007,ကရင်ပြည်နယ်,ကြာအင်းဆိပ်ကြီး,ကြာအင်းဆိပ်ကြီးမြို့နယ်ဆေးရုံ,မြို့နယ်,50,16.04045,98.1221,"98.1221,16.04045,0"
MMR003,MMR003007,ကရင်ပြည်နယ်,ကြာအင်းဆိပ်ကြီး,ခလယ်တံခွန်တိုင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,16.06198,97.90531,"97.90531,16.06198,0"
MMR003,MMR003007,ကရင်ပြည်နယ်,ကြာအင်းဆိပ်ကြီး,ဘုရားသုံးဆူဆေးရုံ,တိုက်နယ်,25,15.30437,98.37788,"98.37788,15.30437,0"
MMR003,MMR003007,ကရင်ပြည်နယ်,ကြာအင်းဆိပ်ကြီး,ကျိုက်ဒုံတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,15.99958,98.38871,"98.38871,15.99958,0"
MMR003,MMR003007,ကရင်ပြည်နယ်,ကြာအင်းဆိပ်ကြီး,အနန်းကွင်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,15.68475,97.99894,"97.99894,15.68475,0"
MMR003,NA,ကရင်ပြည်နယ်,NA,တောင်ပေါက်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,15.91943,98.03125,"98.03125,15.91943,0"
MMR003,NA,ကရင်ပြည်နယ်,NA,ဖားပြတိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,15.83364,97.95255,"97.95255,15.83364,0"
MMR004,MMR004001,ချင်းပြည်နယ်,ဖလမ်း,ဖလမ်းပြည်သူ့ဆေးရုံကြီး,NA,200,22.91982,93.67702,"93.67702,22.91982,0"
MMR004,MMR004001,ချင်းပြည်နယ်,ဖလမ်း,တီးဘွာလ်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,23.1301,93.4548,"93.4548,23.1301,0"
MMR004,MMR004001,ချင်းပြည်နယ်,ဖလမ်း,ရိခေါဒါရ်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,23.32653,93.39352,"93.39352,23.32653,0"
MMR004,MMR004001,ချင်းပြည်နယ်,ဖလမ်း,လုံဘန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,23,93.6953,"93.6953,23,0"
MMR004,MMR004002,ချင်းပြည်နယ်,ဟားခါး,ဟားခါးပြည်သူ့ဆေးရုံကြီး,NA,200,22.64766,93.60837,"93.60837,22.64766,0"
MMR004,MMR004002,ချင်းပြည်နယ်,ဟားခါး,ဆူရ်ခွားတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,22.2512,93.6403,"93.6403,22.2512,0"
MMR004,MMR004003,ချင်းပြည်နယ်,ထန်တလန်,ထန်တလန်မြို့နယ်ဆေးရုံ,မြို့နယ်,50,22.70871,93.42452,"93.42452,22.70871,0"
MMR004,MMR004003,ချင်းပြည်နယ်,ထန်တလန်,​မှောင်တလန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,22.4174,93.432,"93.432,22.4174,0"
MMR004,MMR004003,ချင်းပြည်နယ်,ထန်တလန်,လုံလဲရ်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,22.901,93.2271,"93.2271,22.901,0"
MMR004,MMR004003,ချင်းပြည်နယ်,ထန်တလန်,နှာရိန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,22.19362,93.43423,"93.43423,22.19362,0"
MMR004,MMR004003,ချင်းပြည်နယ်,ထန်တလန်,သီကိရ်(ခ)တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,22.65361,93.18513,"93.18513,22.65361,0"
MMR004,MMR004004,ချင်းပြည်နယ်,တီးတိန်,တီးတိန်မြို့နယ်ဆေးရုံ,မြို့နယ်,100,23.36885,93.65083,"93.65083,23.36885,0"
MMR004,MMR004004,ချင်းပြည်နယ်,တီးတိန်,ထုတ်လိုင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,23.2357,93.7358,"93.7358,23.2357,0"
MMR004,MMR004004,ချင်းပြည်နယ်,တီးတိန်,လိုင်တွီးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,23.3514,93.5625,"93.5625,23.3514,0"
MMR004,MMR004004,ချင်းပြည်နယ်,တီးတိန်,တွီးထန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,23.48207,93.58266,"93.58266,23.48207,0"
MMR004,MMR004005,ချင်းပြည်နယ်,တွန်းဇံ,တွန်းဇံမြို့နယ်ဆေးရုံ,မြို့နယ်,25,23.5974,93.6962,"93.6962,23.5974,0"
MMR004,MMR004005,ချင်းပြည်နယ်,"တွန်းဇံ,ကျီခါး",ကျီးခါးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,23.8899,93.5323,"93.5323,23.8899,0"
MMR004,MMR004006,ချင်းပြည်နယ်,မင်းတပ်,မင်းတပ်ပြည်သူ့ဆေးရုံ,မြို့နယ်,100,21.37156,93.96346,"93.96346,21.37156,0"
MMR004,MMR004006,ချင်းပြည်နယ်,မင်းတပ်,ဝမ္မသူးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,21.4927,93.9478,"93.9478,21.4927,0"
MMR004,MMR004006,ချင်းပြည်နယ်,မင်းတပ်,မကွီအိမ်နူးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,21.17262,93.59316,"93.59316,21.17262,0"
MMR004,MMR004007,ချင်းပြည်နယ်,မတူပီ,မတူပီမြို့နယ်ဆေးရုံ,မြို့နယ်,50,21.60825,93.43963,"93.43963,21.60825,0"
MMR004,MMR004007,ချင်းပြည်နယ်,မတူပီ,​ရေဇွာတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,22.05228,93.40819,"93.40819,22.05228,0"
MMR004,MMR004007,ချင်းပြည်နယ်,မတူပီ,လိုင်လင်းပီးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,21.94619,93.11693,"93.11693,21.94619,0"
MMR004,MMR004007,ချင်းပြည်နယ်,မတူပီ,လုံငိုးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,21.95212,93.59139,"93.59139,21.95212,0"
MMR004,MMR004008,ချင်းပြည်နယ်,ကန်ပက်လက်,ကန်ပက်လက်မြို့နယ်ဆေးရုံ,မြို့နယ်,50,21.1996,94.0333,"94.0333,21.1996,0"
MMR004,MMR004008,ချင်းပြည်နယ်,ကန်ပက်လက်,ကျင်ဒွေးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,20.9537,93.8512,"93.8512,20.9537,0"
MMR004,MMR004009,ချင်းပြည်နယ်,ပလက်ဝ,ပလက်ဝမြို့နယ်ဆေးရုံ,မြို့နယ်,50,21.3037,92.8612,"92.8612,21.3037,0"
MMR004,MMR004009,ချင်းပြည်နယ်,ပလက်ဝ,ဆမီးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,21.2963,93.096,"93.096,21.2963,0"
MMR004,MMR004009,ချင်းပြည်နယ်,ပလက်ဝ,မီးဇာတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,21.725,92.77813,"92.77813,21.725,0"
MMR005,MMR005001,စစ်ကိုင်းတိုင်းဒေသကြီး,စစ်ကိုင်း,စစ်ကိုင်းပြည်သူ့ဆေးရုံကြီး,NA,200,21.87967,95.96791,"95.96791,21.87967,0"
